model,sequence,threshold,group_positive,group_negative,cumulative_tp,cumulative_fp,tpr,fpr
operation_only,0,+inf,0,0,0,0,0.0,0.0
operation_only,1,0.5,24,24,24,24,1.0,1.0
measured_process_context,0,+inf,0,0,0,0,0.0,0.0
measured_process_context,1,0.9889043342897106,4,0,4,0,0.16666666666666666,0.0
measured_process_context,2,0.8857873741927504,4,0,8,0,0.3333333333333333,0.0
measured_process_context,3,0.8722271137626169,8,0,16,0,0.6666666666666666,0.0
measured_process_context,4,0.37265759407786014,8,16,24,16,1.0,0.6666666666666666
measured_process_context,5,0.04863336783595025,0,8,24,24,1.0,1.0
random_forest,0,+inf,0,0,0,0,0.0,0.0
random_forest,1,0.9787662931427434,1,0,1,0,0.041666666666666664,0.0
random_forest,2,0.977986258675378,1,0,2,0,0.08333333333333333,0.0
random_forest,3,0.9771663224887194,1,0,3,0,0.125,0.0
random_forest,4,0.9764743945801806,1,0,4,0,0.16666666666666666,0.0
random_forest,5,0.9027068064815518,1,0,5,0,0.20833333333333334,0.0
random_forest,6,0.900822609986665,1,0,6,0,0.25,0.0
random_forest,7,0.8995623872281715,1,0,7,0,0.2916666666666667,0.0
random_forest,8,0.8995489808240253,1,0,8,0,0.3333333333333333,0.0
random_forest,9,0.8973399697647986,1,0,9,0,0.375,0.0
random_forest,10,0.8937497345868975,1,0,10,0,0.4166666666666667,0.0
random_forest,11,0.892475985910142,1,0,11,0,0.4583333333333333,0.0
random_forest,12,0.8892478323989901,1,0,12,0,0.5,0.0
random_forest,13,0.7455693576503958,1,0,13,0,0.5416666666666666,0.0
random_forest,14,0.7444066275384159,1,0,14,0,0.5833333333333334,0.0
random_forest,15,0.7387822698547811,1,0,15,0,0.625,0.0
random_forest,16,0.7366094268901707,1,0,16,0,0.6666666666666666,0.0
random_forest,17,0.3707527986994006,1,2,17,2,0.7083333333333334,0.08333333333333333
random_forest,18,0.36894744881413016,1,2,18,4,0.75,0.16666666666666666
random_forest,19,0.368295301043025,1,2,19,6,0.7916666666666666,0.25
random_forest,20,0.3643691854099183,1,2,20,8,0.8333333333333334,0.3333333333333333
random_forest,21,0.3638782505059432,1,2,21,10,0.875,0.4166666666666667
random_forest,22,0.36324351845674063,1,2,22,12,0.9166666666666666,0.5
random_forest,23,0.36267043106247304,1,2,23,14,0.9583333333333334,0.5833333333333334
random_forest,24,0.36172456028423877,1,2,24,16,1.0,0.6666666666666666
random_forest,25,0.0926139198177873,0,2,24,18,1.0,0.75
random_forest,26,0.09171031166916635,0,2,24,20,1.0,0.8333333333333334
random_forest,27,0.08694905819412108,0,2,24,22,1.0,0.9166666666666666
random_forest,28,0.08240542083270673,0,2,24,24,1.0,1.0
